Date,Time,Focal_Depth,Primary_Magnitude,Country,Location_Name,Latitude,Longitude,Maximum_Water_Height,Total_Deaths,Total_Injuries,Total_Damage_Million_Dollars,Total_Houses_Destroyed,Total_Houses_Damaged
12-07-93,13:17:11,17,7.7,JAPAN,SEA OF JAPAN,42.851,139.197,32,231,233,1207,2374,
07-08-93,19:42:41,13,6.3,JAPAN,JAPAN,41.985,139.839,0.16,,,,,
08-08-93,8:34:24,59,7.8,USA TERRITORY,"GUAM, MARIANA ISLANDS",12.982,144.801,2.4,,48,250,,
13-11-93,1:18:04,34,7,RUSSIA,KAMCHATKA,51.934,158.647,0.05,,,,,
18-06-93,11:52:54,20,6.6,NEW ZEALAND,KERMADEC ISLANDS,-28.886,-176.819,,,,,,
12-03-93,14:01:35,10,6.4,WALLIS AND FUTUNA (FRENCH TERRITORY),FUTUNA,-14.385,-178.252,,5,20,,,
17-01-94,12:30:55,18,6.7,USA,"WEST COAST, USA",34.213,-118.537,0.1,60,7000,40000,40000,
21-01-94,2:24:29,20,7,INDONESIA,HALMAHERA,1.015,127.733,2,9,300,,,550
15-02-94,17:07:43,23,6.9,INDONESIA,SOUTHERN SUMATRA,-4.967,104.302,,,,,,
08-04-94,1:10:40,13,6.4,JAPAN,HOKKAIDO ISLAND,40.608,143.683,0.11,,,,,
02-06-94,18:17:34,18,7.8,INDONESIA,SOUTH OF JAVA,-10.477,112.835,13.9,238,423,2.2,1500,
01-09-94,15:15:53,10,7,USA,N. CALIFORNIA,40.402,-125.68,0.07,,,,,
04-10-94,13:22:55,14,8.3,RUSSIA,S. KURIL ISLANDS,43.773,147.321,10.4,11,382,,,
08-10-94,21:44:07,17,6.8,INDONESIA,HALMAHERA,-1.258,127.98,3,1,52,,,500
09-10-94,7:55:39,33,7.3,RUSSIA,S. KURIL ISLANDS,43.905,147.916,0.2,,,,,
14-11-94,19:15:30,32,7.1,PHILIPPINES,PHILIPPINE ISLANDS,13.525,121.067,7.3,81,225,3.7,797,3288
28-12-94,12:19:23,27,7.8,JAPAN,"TOHUKU, JAPAN",40.525,143.419,0.53,3,200,170.4,,
03-06-94,21:06:59,26,6.6,INDONESIA,SOUTH OF JAVA,-10.362,112.892,3.7,,,,,
05-06-94,1:45:02,17,6.1,INDONESIA,SOUTH OF JAVA,-10.341,113.369,3,,,,,
24-05-94,4:00:42,16,6.5,TAIWAN,TAIWAN,23.959,122.448,0.02,,,,,
04-06-94,0:57:50,11,6.5,INDONESIA,SOUTH OF JAVA,-10.777,113.366,,,,,,
07-04-95,22:06:56,21,7.4,SAMOA,SAMOA ISLANDS,-15.199,-173.529,0.09,,,,,
21-04-95,0:34:46,21,7.2,PHILIPPINES,SAMAR ISLAND,12.059,125.58,0.2,,,,,
21-04-95,5:17:01,23,6.8,PHILIPPINES,SAMAR ISLAND,12.047,125.92,0.2,,,,,
13-05-95,8:47:12,14,6.6,GREECE,GREECE,40.149,21.695,,,,,,
14-05-95,11:33:21,13,6.9,INDONESIA,TIMOR SEA,-8.452,125.049,4,11,19,,,
16-05-95,20:12:44,20,7.7,NEW CALEDONIA,LOYALTY ISLANDS,-23.008,169.9,0.5,,,,,
15-06-95,0:15:48,14,6.5,GREECE,GULF OF CORINTH: AIYION,38.401,22.283,1,26,60,660,,
30-07-95,5:11:23,46,8,CHILE,NORTHERN CHILE,-23.34,-70.294,3,3,58,1.791,115,
16-08-95,10:27:28,30,7.7,PAPUA NEW GUINEA,SOLOMON SEA,-5.799,154.178,0.6,,,,,
14-09-95,14:04:31,23,7.4,MEXICO,S. MEXICO,16.779,-98.597,0.4,3,100,,,
09-10-95,15:35:53,33,8,MEXICO,S. MEXICO,19.055,-104.205,11,50,200,,,
18-10-95,10:37:26,28,7.1,JAPAN,RYUKYU ISLANDS,27.929,130.175,2.59,,1,,,
19-10-95,2:41:36,20,6.8,JAPAN,RYUKYU ISLANDS,28.094,130.148,1.5,,,,,
01-11-95,0:35:32,20,6.7,CHILE,NORTHERN CHILE,-28.906,-71.417,0.1,,,,,
22-11-95,4:15:11,10,7.2,EGYPT,EGYPT,28.826,34.799,0.1,12,,,,
03-12-95,18:01:08,33,7.9,RUSSIA,S. KURIL ISLANDS,44.663,149.3,1.1,,,,,
01-01-96,8:05:10,24,7.9,INDONESIA,SULAWESI,0.729,119.931,3.43,9,63,1.2,400,
17-02-96,5:59:30,33,8.2,INDONESIA,IRIAN JAYA,-0.891,136.952,7.7,164,432,4.2,5043,
21-02-96,12:51:01,10,7.5,PERU,N. PERU,-9.593,-79.587,5.1,12,57,,15,22
25-02-96,3:08:15,21,7.1,MEXICO,MEXICO,15.978,-98.07,0.1,,,,,
10-06-96,4:03:35,33,7.9,USA,"ANDREANOF ISLANDS, AK",51.564,-177.632,0.51,,,,,
10-06-96,15:24:56,24,7.3,USA,"ANDREANOF ISLANDS, AK",51.478,-176.847,0.18,,,,,
04-09-96,18:16:01,33,5.7,JAPAN,HONSHU ISLAND,31.555,139.931,0.3,,,,,
05-09-96,8:14:14,10,6.9,CHILE,EASTER ISLAND REGION,-22.118,-113.436,0.09,,,,,
18-10-96,10:50:20,10,6.6,JAPAN,KYUSHU ISLAND,30.568,131.093,0.2,,,,,
19-10-96,14:44:40,22,6.7,JAPAN,KYUSHU ISLAND,31.885,131.468,0.55,,,,,
12-11-96,16:59:44,33,7.7,PERU,S. PERU,-14.993,-75.675,0.4,14,560,,,4000
02-12-96,22:17:59,49,6.7,JAPAN,SEA OF JAPAN,31.789,131.314,0.2,,,,,
05-09-96,23:42:06,20,6.8,TAIWAN,TAIWAN REGION,21.898,121.498,0.11,,,,,
21-04-97,12:02:26,33,7.7,SOLOMON ISLANDS,SANTA CRUZ IS. VANUATU,-12.584,166.676,3,,,,7,
09-07-97,19:24:13,20,7,VENEZUELA,CARIACO-CUMANA,10.598,-63.486,,81,522,81,,
14-10-97,9:53:18,167,7.7,TONGA,TONGA ISLANDS,-22.1,-176.77,0.1,,,,,
05-12-97,11:26:54,33,7.8,RUSSIA,KAMCHATKA,54.841,162.035,8,,,,,
30-09-97,6:27:24,10,6.2,JAPAN,S. OF HONSHU ISLAND,31.959,141.878,0.03,,,,,
03-05-98,23:30:21,33,7.5,TAIWAN,TAIWAN:  SOUTHEAST OF,22.306,125.308,0.13,,,,,
25-03-98,3:12:25,10,8.1,ANTARCTICA,BALLENY ISLANDS,-62.877,149.527,0.01,,,,,
29-11-98,14:10:31,33,7.7,INDONESIA,"TALIABU ISLAND,",-2.071,124.891,2.75,41,107,200,1000,
26-11-99,13:21:15,33,7.5,VANUATU,VANUATU ISLANDS,-16.423,168.214,6.6,10,100,,,
04-05-00,4:21:16,26,7.6,INDONESIA,SULAWESI,-1.105,123.573,6,46,264,30,10000,
01-07-00,7:01:55,10,6.1,JAPAN,"KOZU-SHIMA ISLAND, HONSHU",34.221,139.131,0.07,1,,,,
18-06-00,14:44:13,10,7.9,AUSTRALIA,SOUTH INDIAN OCEAN,-13.802,97.453,0.3,,,,,
16-11-00,4:54:55,17,8,PAPUA NEW GUINEA,BISMARCK SEA,-4.001,152.327,3,2,,,,
05-04-00,4:36:59,38,5.5,GREECE,CRETE,34.22,25.69,0.5,,,,,
15-07-00,1:30:30,10,6.1,JAPAN,HONSHU: S COAST,34.319,139.26,0.07,,10,,,20
30-07-00,12:25:45,10,6.5,JAPAN,HONSHU: S COAST,33.901,139.376,0.14,,1,,,
23-06-01,20:33:14,33,8.4,PERU,S. PERU,-16.265,-73.641,8.8,103,2713,200,25399,
18-12-01,4:02:58,14,6.8,TAIWAN,TAIWAN,23.954,122.734,0.12,,,,,
13-01-01,17:33:32,60,7.7,EL SALVADOR,EL SALVADOR,13.049,-88.66,0.25,844,4723,753,108226,169632
12-10-01,5:02:34,20,6.1,CANADA,QUEEN CHARLOTTE ISLANDS,52.63,-132.2,0.11,,,,,
05-03-02,21:16:09,31,7.5,PHILIPPINES,"MINDANAO ISLAND, PHILIPPINES",6.033,124.249,3,15,100,1.714,,800
26-03-02,3:45:48,33,6.4,JAPAN,JAPAN,23.346,124.09,0.05,,,,,
31-03-02,6:52:50,33,7.1,TAIWAN,TAIWAN,24.279,122.179,0.2,5,200,,100,
02-01-02,17:22:48,21,7.2,VANUATU,VANUATU ISLANDS,-17.6,167.856,3,,,,,
08-09-02,18:44:25,13,7.6,PAPUA NEW GUINEA,BISMARCK SEA,-3.26,142.94,5.5,4,70,,,873
13-09-02,22:28:29,21,6.5,INDIA,"ANDAMAN ISLANDS, INDIA",13.036,93.068,,2,,,40,
10-10-02,10:50:20,10,7.6,INDONESIA,IRIAN JAYA,-1.757,134.297,5,8,632,,1000,900
20-01-03,8:43:06,33,7.3,SOLOMON ISLANDS,SOLOMON ISLANDS,-10.491,160.77,2,,,,,
22-01-03,2:06:34,24,7.5,MEXICO,S. MEXICO,18.77,-104.104,0.61,29,300,,2005,6615
25-09-03,19:50:06,27,8.3,JAPAN,HOKKAIDO ISLAND,41.815,143.91,4.4,,755,90,,
31-10-03,1:06:28,10,7,JAPAN,E. HONSHU ISLAND,37.812,142.619,0.32,,,,,
17-11-03,6:43:06,33,7.8,USA,"RAT ISLANDS, ALEUTIAN ISLANDS, AK",51.146,178.65,0.33,,,,,
21-08-03,12:12:49,28,7.2,NEW ZEALAND,SOUTH ISLAND,-45.104,167.144,0.15,,,,,
27-12-03,4:55:25,10,6.1,NEW CALEDONIA,LOYALTY ISLANDS,-22.107,169.35,0.15,,,,,
27-05-03,17:11:28,8,5.7,ALGERIA,ALGIERS,36.939,3.578,0.08,9,200,,,
28-01-04,22:15:30,17,6.7,INDONESIA,SERAM ISLAND,-3.12,127.4,,,,,,
05-09-04,10:07:07,14,7.2,JAPAN,SOUTH COAST HONSHU ISLAND,33.07,136.618,0.63,,4,,,
05-09-04,14:57:18,10,7.4,JAPAN,SOUTH COAST HONSHU ISLAND,33.184,137.071,0.93,,40,,,
21-11-04,11:41:07,14,6.3,GUADELOUPE (FRENCH TERRITORY),"BASSE-TERRE, LES SAINTES",15.679,-61.706,0.7,,,,,
28-11-04,18:32:14,39,7,JAPAN,HOKKAIDO ISLAND,43.006,145.119,0.12,,24,,,
02-11-04,10:02:12,10,6.6,CANADA,VANCOUVER ISLAND,49.277,-128.772,0.06,,,,,
11-11-04,21:26:41,10,7.5,INDONESIA,KEPULAUAN ALOR,-8.152,124.868,,34,400,,781,16712
23-12-04,14:59:04,10,8.1,AUSTRALIA,MACQUARIE ISLAND,-49.312,161.345,0.3,,,,,
11-02-04,8:15:03,27,5.3,JORDAN,DEAD SEA,31.675,35.551,1,,4,,,
22-11-04,20:26:23,10,7.1,NEW ZEALAND,PUYSEGUR TRENCH,-46.676,164.721,,,,,,
19-01-05,6:11:36,28,6.6,JAPAN,E. HONSHU ISLAND,34.064,141.491,0.39,,,,,
10-04-05,10:29:11,19,6.7,INDONESIA,KEPULAUAN MENTAWAI,-1.644,99.607,0.4,,,,,
15-06-05,2:50:53,10,7.2,USA,N. CALIFORNIA,41.301,-125.97,0.1,,,,,
16-08-05,2:46:28,36,7.2,JAPAN,E. COAST HONSHU ISLAND,38.276,142.039,0.05,,56,,1,
14-11-05,21:38:51,11,7,JAPAN,E. COAST HONSHU ISLAND,38.107,144.896,0.42,,,,,
14-02-05,18:05:59,12,5.8,GUADELOUPE (FRENCH TERRITORY),DOMINICA PASSAGE,15.775,-61.744,,,,,,
03-05-06,15:26:40,55,8,TONGA,TONGA,-20.187,-174.123,0.27,,1,,,
17-07-06,8:19:28,34,7.7,INDONESIA,SOUTH OF JAVA,-9.254,107.411,20.9,802,498,55,1623,
14-03-06,6:57:33,30,6.7,INDONESIA,SERAM ISLAND,-3.595,127.214,3.5,4,,1,241,
28-09-06,6:22:09,28,6.9,SAMOA,SAMOA ISLANDS,-16.592,-172.033,0.08,,,,,
15-11-06,11:14:13,10,8.3,RUSSIA,S. KURIL ISLANDS,46.592,153.266,21.9,,1,,,
15-10-06,17:07:49,39,6.7,USA,HAWAII,19.878,-155.935,0.1,,,,,
26-12-06,12:26:21,10,7,CHINA,TAIWAN,21.799,120.547,0.07,2,40,,,
13-01-07,4:23:21,10,8.1,RUSSIA,S. KURIL ISLANDS,46.243,154.524,0.4,,,,,
25-03-07,0:41:57,8,6.7,JAPAN,HONSHU: W COAST,37.336,136.588,0.1,1,150,,513,
01-04-07,20:39:56,10,8.1,SOLOMON ISLANDS,SOLOMON ISLANDS,-8.46,157.044,12.1,52,,,2500,500
25-03-07,0:40:01,34,7.1,VANUATU,VANUATU ISLANDS,-20.617,169.357,0.08,,,,,
16-07-07,1:13:22,10,6.6,JAPAN,HONSHU: W COAST,37.57,138.478,,9,1088,,875,
02-08-07,2:37:42,5,6.2,RUSSIA,TATAR STRAIT,47.116,141.798,0.19,2,12,,11,20
02-08-07,3:21:42,21,6.7,USA,"ALEUTIAN ISLANDS, AK",51.307,-179.971,0.03,,,,,
15-08-07,23:40:57,39,8,PERU,S. PERU,-13.386,-76.603,10.05,514,1090,,39700,
12-09-07,11:10:26,34,8.4,INDONESIA,SUMATRA,-4.438,101.367,5,25,161,,56425,
30-09-07,5:23:34,10,7.4,NEW ZEALAND,AUCKLAND ISLANDS,-49.418,163.954,0.25,,,,,
14-11-07,15:40:50,40,7.7,CHILE,NORTHERN CHILE,-22.247,-69.89,0.28,2,65,,,
02-09-07,1:05:18,35,7.2,SOLOMON ISLANDS,SANTA CRUZ ISLANDS,-11.61,165.762,0.05,,,,,
09-12-07,7:28:20,153,7.8,KERMADEC ISLANDS,KERMADEC ISLANDS,-25.996,-177.514,0.03,,,,,
29-11-07,19:00:20,156,7.4,MARTINIQUE (FRENCH TERRITORY),MARTINIQUE,14.944,-61.274,,,,,,
25-02-08,8:36:33,25,6.5,INDONESIA,SUMATRA,-2.486,99.972,0.12,,,,,
09-04-08,12:46:12,35,7.3,NEW CALEDONIA,LOYALTY ISLANDS,-20.071,168.892,0.16,,,,,
19-07-08,2:39:28,22,6.9,JAPAN,OFF EAST COAST OF HONSHU ISLAND,37.552,142.214,0.2,,,,,
11-09-08,0:20:50,25,6.8,JAPAN,HOKKAIDO ISLAND,41.892,143.754,0.09,6,77,,,1000
28-04-08,18:33:34,32,6.4,VANUATU,VANUATU ISLANDS,-19.941,168.953,0.03,,,,,
16-11-08,17:02:32,30,7.3,INDONESIA,SULAWESI,1.271,122.091,0.13,6,77,,,1000
03-01-09,19:43:50,17,7.6,INDONESIA,NEAR NORTH COAST,-0.414,132.885,0.39,5,250,,,840
03-01-09,22:33:40,23,7.3,INDONESIA,NEAR NORTH COAST,-0.691,133.305,,,,,,
15-01-09,17:49:39,36,7.4,RUSSIA,KAMCHATKA,46.857,155.154,0.11,,,,,
11-02-09,17:34:50,22,7.2,INDONESIA,CELEBES SEA,3.884,126.397,0.13,,64,,,597
19-03-09,18:17:40,34,7.6,TONGA,TONGA,-23.046,-174.659,0.15,,,,,
28-05-09,8:24:45,10,7.3,HONDURAS,OFF COAST OF HONDURAS,16.72,-86.236,4,7,40,,135,25
15-07-09,9:22:29,12,7.8,NEW ZEALAND,OFF WEST COAST OF SOUTH ISLAND,-45.762,166.562,0.47,,,,,
10-08-09,20:07:09,40,6.4,JAPAN,HONSHU: S COAST,34.743,138.264,0.6,1,123,,5192,
10-08-09,19:55:35,5,7.5,INDIA,ANDAMAN ISLANDS,14.099,92.888,0.01,,,,,
29-09-09,17:48:10,18,8.1,SAMOA,SAMOA ISLANDS,-15.489,-172.095,22.35,192,7,285,,
30-09-09,10:16:09,81,7.5,INDONESIA,SUMATRA,-0.72,99.867,0.27,1117,1214,2200,,181665
07-10-09,22:03:14,45,7.6,VANUATU,VANUATU ISLANDS,-13.006,166.51,0.31,,,,,
16-08-09,7:38:21,20,6.7,INDONESIA,SUMATRA,-1.479,99.49,0.18,,9,,,
03-01-10,21:48:05,26,6.6,SOLOMON ISLANDS,SOLOMON ISLANDS,-8.743,157.477,0.01,,,,,
03-01-10,22:36:27,25,7.1,SOLOMON ISLANDS,SOLOMON ISLANDS,-8.799,157.346,7.52,,,,16,60
05-01-10,12:15:32,15,6.8,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.019,157.551,0.03,,,,,
11-03-10,14:39:43,11,6.9,CHILE,CENTRAL CHILE,-34.29,-71.891,0.14,,,,,
06-04-10,22:15:01,31,7.8,INDONESIA,SUMATRA,2.383,97.048,0.44,,,,,
26-02-10,20:31:26,25,7,JAPAN,RYUKYU ISLANDS,25.93,128.425,0.1,,,,,
12-06-10,19:26:50,35,7.5,INDIA,LITTLE NICOBAR ISLAND,7.881,91.936,0.03,,,,,
10-08-10,5:23:44,25,7.2,VANUATU,VANUATU ISLANDS,-17.541,168.069,0.23,,,,,
25-10-10,14:42:22,20,7.8,INDONESIA,SUMATRA,-3.487,100.082,16.9,431,,39,700,
13-08-10,21:19:33,10,6.9,USA TERRITORY,"GUAM, MARIANA ISLANDS",12.484,141.476,0.07,,,,,
21-12-10,17:19:40,14,7.4,JAPAN,BONIN ISLANDS,26.901,143.698,0.13,,,,,
25-12-10,13:16:37,16,7.3,VANUATU,VANUATU ISLANDS,-19.702,167.947,4.1,,4,,,
11-02-11,20:05:30,28,6.8,CHILE,CENTRAL CHILE,-36.474,-73.125,0.15,,,,,
21-02-11,23:51:42,6,6.1,NEW ZEALAND,SOUTH ISLAND,-43.583,172.68,3.5,,,,,
09-03-11,2:45:20,32,7.5,JAPAN,HONSHU ISLAND,38.435,142.842,0.6,,,,,
11-03-11,5:46:24,30,9.1,JAPAN,HONSHU ISLAND,38.297,142.372,38.9,18454,6152,220085.456,127511,273796
09-01-11,10:03:44,24,6.5,VANUATU,VANUATU ISLANDS,-19.157,168.311,0.03,,,,,
07-04-11,14:32:43,42,7.1,JAPAN,E. COAST HONSHU ISLAND,38.276,141.588,0.08,3,132,,,
06-07-11,19:03:18,17,7.6,NEW ZEALAND,KERMADEC ISLANDS,-29.539,-176.34,1.2,,,,,
10-07-11,0:57:10,23,7,JAPAN,OFF EAST COAST OF HONSHU ISLAND,38.034,143.264,0.09,,,,,
24-06-11,3:09:39,52,7.3,USA,"ATKA, ALEUTIAN ISLANDS, AK",52.05,-171.836,0.1,,,,,
20-08-11,18:19:23,28,7,VANUATU,VANUATU ISLANDS,-18.311,168.218,0.18,,,,,
20-08-11,16:55:02,32,7.1,VANUATU,VANUATU ISLANDS,-18.365,168.143,0.18,,,,,
02-09-11,10:55:53,32,6.8,USA,"FOX ISLANDS, ALEUTIAN ISLANDS, AK",52.171,-171.708,0.06,,,,,
21-10-11,17:57:16,33,7.4,NEW ZEALAND,KERMADEC ISLANDS,-28.993,-176.238,0.14,,,,,
02-02-12,13:34:40,23,7,VANUATU,VANUATU ISLANDS,-17.827,167.133,0.08,,,,,
14-03-12,9:08:35,12,6.9,JAPAN,HOKKAIDO ISLAND,40.887,144.944,0.2,,,,,
20-03-12,18:02:47,20,7.4,MEXICO,S. MEXICO,16.493,-98.231,0.2,2,13,,800,
11-04-12,8:38:36,20,8.6,INDONESIA,OFF W. COAST OF N SUMATRA,2.327,93.063,,10,12,,,
11-04-12,10:43:10,25,8.2,INDONESIA,OFF W. COAST OF N SUMATRA,0.802,92.463,,,,,,
14-04-12,22:05:26,11,6.3,VANUATU,VANUATU ISLANDS,-18.972,168.741,,,,,,
27-08-12,4:37:19,28,7.3,EL SALVADOR,EL SALVADOR-NICARAGUA,12.139,-88.59,6.3,,40,,,
31-08-12,12:47:33,28,7.6,PHILIPPINES,PHILIPPINE ISLANDS,10.811,126.638,0.15,1,1,0.3,,
05-09-12,14:42:07,35,7.6,COSTA RICA,COSTA RICA,10.085,-85.315,0.16,2,20,,,
28-10-12,3:04:08,14,7.7,CANADA,BRITISH COLUMBIA,52.788,-132.101,12.98,1,,,,
07-11-12,16:35:46,24,7.3,GUATEMALA,GUATEMALA,13.988,-91.895,0.35,48,155,,2769,7561
07-12-12,8:18:23,31,7.2,JAPAN,OFF EAST COAST OF HONSHU ISLAND,37.89,143.949,1,,11,,,
05-01-13,8:58:19,10,7.5,USA,"SE. ALASKA, AK",55.393,-134.652,1.5,,,,,
06-02-13,1:12:25,24,7.9,SOLOMON ISLANDS,SANTA CRUZ ISLANDS,-10.766,165.114,11,10,15,2,588,478
08-02-13,15:26:38,21,7,SOLOMON ISLANDS,SANTA CRUZ ISLANDS,-10.928,166.018,0.09,,,,,
19-04-13,3:05:52,110,7.2,RUSSIA,S. KURIL ISLANDS,46.221,150.788,0.2,,,,,
21-07-13,5:09:31,17,6.5,NEW ZEALAND,COOK STRAIT,-41.704,174.337,0.07,,5,,,35
24-09-13,0:00:00,47,,PAKISTAN,OFF COAST GWADAR,25.18,62.26,0.26,825,619,,32638,14118
16-08-13,2:31:47,10,6.5,NEW ZEALAND,WELLINGTON,-41.731,174.027,0.08,,,,,
25-10-13,17:10:00,10,7.1,JAPAN,E. COAST HONSHU ISLAND,37.2,144.6,0.4,,1,,,
17-11-13,9:04:53,10,7.7,ANTARCTICA,SCOTIA SEA,-60.274,-46.401,0.15,,,,,
16-03-14,21:16:00,21,6.7,CHILE,NORTHERN CHILE,-19.965,-70.814,0.26,,,,,
01-04-14,23:46:26,25,8.2,CHILE,NORTHERN CHILE,-19.61,-70.769,4.63,7,,100,,2600
03-04-14,2:43:11,22,7.7,CHILE,NORTHERN CHILE,-20.571,-70.493,0.74,,,,,
12-04-14,20:14:03,23,7.6,SOLOMON ISLANDS,SOLOMON ISLANDS,-11.27,162.148,0.03,,,,,
13-04-14,12:36:23,39,7.4,SOLOMON ISLANDS,SOLOMON ISLANDS,-11.463,162.051,0.16,,,,,
18-04-14,14:28:32,24,7.2,MEXICO,S. MEXICO,17.397,-100.972,0.43,,,,,127
19-04-14,13:29:21,43,7.5,PAPUA NEW GUINEA,SOLOMON SEA,-6.755,155.024,0.11,,,,,
23-06-14,20:53:07,109,7.9,USA,"ALEUTIAN ISLANDS, AK",51.849,178.735,0.17,,,,,
23-06-14,19:20:34,20,6.9,NEW ZEALAND,"S OF RAOUL ISLAND, KERMADEC ISLANDS",-29.977,-177.725,0.13,,,,,
11-07-14,19:23:22,20,6.5,JAPAN,SANRIKU,37.005,142.453,0.2,,,,,
25-07-14,10:55:12,10,6.1,USA,"PALMA BAY, AK",58.306,-136.96,0.08,,,,,
09-10-14,2:14:44,16,7,CHILE,EASTER ISLAND REGION,-32.108,-110.811,0.47,,,,,
15-11-14,2:32:12,45,7.1,INDONESIA,N. MOLUCCAS ISLANDS,1.893,126.522,0.09,,,,,
14-10-14,3:51:46,40,7.3,EL SALVADOR,GULF OF FONSECA,12.526,-88.123,0.02,1,,,5,41
23-06-14,0:00:00,,,SPAIN,MEDITERRANEAN AND BLACK SEAS,,,2.5,,15,,,
16-02-15,23:06:27,23,6.7,JAPAN,HONSHU,39.856,142.881,0.27,,,,,
29-03-15,23:48:01,41,7.5,PAPUA NEW GUINEA,BISMARCK SEA,-4.729,152.562,0.5,,,,,
19-02-15,13:18:32,10,6.4,VANUATU,VANUATU ISLANDS,-16.431,168.148,8,,,,,
05-05-15,1:44:38,55,7.5,PAPUA NEW GUINEA,NEW BRITAIN,-5.462,151.875,1,,,,,
02-05-15,16:51:39,10,5.7,JAPAN,S. OF HONSHU ISLAND,31.529,140.213,0.6,,,,,
18-07-15,2:28:22,11,7,SOLOMON ISLANDS,SANTA CRUZ ISLANDS,-10.401,165.141,0.09,,,,,
10-07-15,4:12:54,12,6.7,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.307,158.403,0.01,,,,,
16-09-15,22:55:26,22,8.3,CHILE,CENTRAL CHILE,-31.573,-71.674,13.6,15,14,600,2305,10044
27-07-15,4:49:00,23,6.9,USA,"FOX ISLANDS, ALEUTIAN ISLANDS, AK",52.214,-169.399,0.08,,,,,
11-11-15,1:54:00,33,6.9,CHILE,CENTRAL CHILE,-29.46,-72.12,0.55,,,,,
13-11-15,20:51:03,12,6.7,JAPAN,JAPAN,31.001,128.873,0.3,,,,,
17-11-15,7:10:03,11,6.5,GREECE,IONIAN SEA,38.67,20.6,0.15,2,4,,1,
02-03-16,12:49:11,24,7.8,INDONESIA,SW. SUMATRA,-4.952,94.33,0.21,,,,,
16-04-16,23:58:00,17,7.8,ECUADOR,OFF COAST,0.35,-80.16,0.5,663,6274,3300,6998,29672
28-04-16,19:33:07,24,7,VANUATU,VANUATU ISLANDS,-16.043,167.379,0.02,,,,,
12-08-16,1:26:28,16,7.2,NEW CALEDONIA,LOYALTY ISLANDS,-22.477,173.117,0.19,,,,,
19-08-16,7:33:11,10,7.4,UK TERRITORY,SOUTHERN ATLANTIC OCEAN,-55.285,-31.877,0.1,,,,,
01-09-16,16:37:57,19,7.1,NEW ZEALAND,GISBORNE,-37.401,179.055,0.21,,,,,
13-11-16,11:02:56,,7.8,NEW ZEALAND,OFF EAST COAST OF SOUTH ISLAND,-42.757,173.077,6.9,2,,3900,1,
21-11-16,20:59:49,11,6.9,JAPAN,E. COAST HONSHU ISLAND,37.392,141.403,1.44,,,,,
24-11-16,18:43:48,10,7,NICARAGUA,NICARAGUA,11.96,-88.835,0.08,,,,,
08-12-16,17:38:46,41,7.8,SOLOMON ISLANDS,SOLOMON ISLANDS,-10.665,161.335,0.43,1,,,191,126
09-12-16,19:10:07,21,6.9,SOLOMON ISLANDS,SOLOMON ISLANDS,-10.73,161.107,0.05,,,,,
17-12-16,10:51:12,103,7.9,PAPUA NEW GUINEA,SOLOMON SEA,-4.509,153.45,0.08,,,,,
25-12-16,14:22:27,35,7.6,CHILE,SOUTHERN CHILE,-43.416,-73.88,0.44,,,,,
03-01-17,21:05:00,17,6.9,FIJI,FIJI ISLANDS,-19.326,176.053,0.01,,,,,
22-01-17,4:30:56,136,7.9,PAPUA NEW GUINEA,BOUGAINVILLE ISLAND,-6.214,155.122,0.04,,,,,
24-04-17,21:38:26,25,6.9,CHILE,CENTRAL CHILE,-33.073,-72.051,0.16,,,,,
28-04-17,20:23:17,26,6.9,PHILIPPINES,"SOCCSKSARGEN, PHILIPPINES",5.516,125.093,0.2,,2,,1,
01-05-17,12:31:54,2,6.2,USA,"SKAGWAY, AK",59.844,-136.695,0.06,,,,,
12-06-17,12:28:38,10,6.3,GREECE,LESBOS,38.932,26.364,0.4,1,15,,10,250
17-07-17,23:34:13,11,7.7,RUSSIA,BERING ISLAND,54.472,168.815,0.1,,,,,
20-07-17,22:31:12,10,6.7,TURKEY,GULF OF GÅEøΩKOVA,36.949,27.458,1.9,2,500,,,
08-09-17,4:49:19,47,8.2,MEXICO,S. MEXICO,15.022,-93.899,2.7,98,,2300,5000,53152
31-10-17,0:42:06,11,6.8,NEW CALEDONIA,LOYALTY ISLANDS,-21.66,169.203,0.13,,,,,
01-11-17,2:23:56,10,6.6,NEW CALEDONIA,LOYALTY ISLANDS,-21.63,168.884,0.1,,,,,
19-11-17,22:43:29,10,7,NEW CALEDONIA,LOYALTY ISLANDS,-21.334,168.683,0.37,,,,,
10-01-18,2:51:31,10,7.5,HONDURAS,OFF COAST OF HONDURAS,17.474,-83.519,0.4,,,,,7
23-01-18,9:31:42,25,7.9,USA,"KODIAK ISLAND, AK",56.046,-149.073,0.25,,,,,
14-01-18,9:18:45,36,7.1,PERU,S. PERU,-15.776,-74.744,0.15,,,,,
04-05-18,22:32:55,5,6.9,USA,HAWAII,19.37,-155.032,0.4,,1,,700,
05-08-18,11:46:37,31,6.9,INDONESIA,BALI SEA,-8.287,116.452,0.14,560,7733,509,,83392
19-08-18,0:19:37,563,8.2,FIJI,FIJI ISLANDS,-18.178,-178.111,,,,,,
21-08-18,21:31:46,154,7.3,VENEZUELA,SUCRE,10.855,-62.883,,5,,,,
29-08-18,3:51:56,27,7.1,NEW CALEDONIA,LOYALTY ISLANDS,-22.066,170.05,0.27,,,,,
