Date,Time,Focal_Depth,Primary_Magnitude,Country,Location_Name,Latitude,Longitude,Maximum_Water_Height,Total_Deaths,Total_Injuries,Total_Damage_Million_Dollars,Total_Houses_Destroyed,Total_Houses_Damaged
16-05-68,10:39:01,33,7.5,JAPAN,OFF COAST OF HONSHU ISLAND,41.5,142.7,0.58,,,,,
03-09-68,8:19:52,38,6.6,TURKEY,BLACK SEA,41.8,32.3,3,24,200,,2000,
18-04-68,19:38:15,7,4.6,ITALY,LIGURIA-COTE D'AZUR,44.08,8,3,,,,,
23-02-69,0:36:56,13,6.9,INDONESIA,MAKASSAR STRAIT,-3.1,118.9,4,664,97,,1287,
28-02-69,2:40:32,22,7.8,PORTUGAL,PORTUGAL,36.017,-10.95,0.9,13,80,,,
21-04-69,7:19:00,41,6.5,JAPAN,RYUKYU ISLANDS,32.2,132.1,0.1,,,,,
02-08-69,4:30:29,17,5.4,PAPUA NEW GUINEA,BISMARCK SEA,-6.6,146.9,,,,,,
11-08-69,21:26:36,30,8.2,RUSSIA,S. KURIL ISLANDS,43.6,147.9,5,,,,,
22-11-69,23:09:37,51,7.7,RUSSIA,KAMCHATKA,57.7,163.6,15,,,,,
25-12-69,21:32:27,7,7.2,GUADELOUPE (FRENCH TERRITORY),GRAND BOURG,15.8,-59.7,0.46,,,,,
10-01-70,12:07:08,73,7.6,PHILIPPINES,PHILIPPINE TRENCH,6.8,126.7,0.06,,,,,
07-04-70,5:34:05,40,7.3,PHILIPPINES,PHILIPPINE SEA,15.78,121.71,,15,200,,,
14-06-70,0:00:00,10,6,CHILE,SOUTHERN CHILE,-52,-73.8,,,,,,
19-06-70,10:56:13,44,6.4,CHILE,NORTHERN CHILE,-22.28,-70.55,,,,,,
25-07-70,22:41:10,34,7,JAPAN,SEIKAIDO,32.2,131.7,0.32,,13,,,
28-09-70,19:01:00,,5.1,NEW ZEALAND,NEW ZEALAND,-44.64,173.62,1,,,,,
30-09-70,9:52:22,33,5.3,PHILIPPINES,PHILIPPINE TRENCH,20.6,122,,,,,,
31-10-70,17:53:09,8,7.3,PAPUA NEW GUINEA,PAPUA NEW GUINEA,-4.907,145.471,3,18,20,1.75,800,
28-11-70,11:08:40,33,6,CHILE,NORTHERN CHILE,-20.94,-69.81,,,,,,
04-12-70,1:59:25,7,5.1,RUSSIA,BLACK SEA,43.84,39.34,0.8,,,,,
14-05-70,18:12:00,44,6.5,RUSSIA,CASPIAN SEA,43,47.1,,,,,,
11-03-70,22:38:34,29,6,USA,"ANDREANOF ISLANDS, AK",57.5,-153.9,0.03,,,,,
02-05-71,6:08:27,30,7.1,USA,"ANDREANOF ISLANDS, AK",51.228,-177.173,0.04,,,,,
09-07-71,3:03:18,58,7.8,CHILE,CENTRAL CHILE,-32.5,-71.2,1.2,83,447,236.4,,
14-07-71,6:11:29,47,7.9,PAPUA NEW GUINEA,SOLOMON SEA,-5.5,153.9,6,3,5,,,
26-07-71,1:23:21,48,7.9,PAPUA NEW GUINEA,SOLOMON SEA,-4.9,153.2,10,,,,,
02-08-71,7:24:56,51,7.3,JAPAN,JAPAN TRENCH,41.4,143.5,0.51,,,,,
08-09-71,11:48:23,6,6.6,RUSSIA,TATAR STRAIT,46.4,141.1,0.09,,,,,
08-09-71,16:59:52,16,6.2,RUSSIA,TATAR STRAIT,46.3,140.9,0.07,,,,,
25-09-71,4:36:14,115,7,PAPUA NEW GUINEA,BISMARCK SEA,-6.5,146.6,1.8,,,,,
27-09-71,19:01:45,21,6,RUSSIA,TATAR STRAIT,46.4,141.1,0.03,,,,,
06-11-71,22:00:00,21,5.7,USA,"RAT ISLANDS, ALEUTIAN ISLANDS, AK",51.5,179.1,0.1,,,,,
15-12-71,8:29:55,33,7.8,RUSSIA,KAMCHATKA,56,163.3,0.47,,,,,
06-09-71,13:37:10,29,5.5,RUSSIA,TATAR STRAIT,46.7,141.4,0.32,,,,,
05-09-71,18:35:25,9,7.1,RUSSIA,TATAR STRAIT,46.5,141.2,2,,,,,
25-01-72,2:06:23,33,7.5,TAIWAN,E. TAIWAN,22.5,122.3,0.05,1,,,5,
29-02-72,9:22:59,56,7.4,JAPAN,EAST OFF HACHIJO ISLAND,33.3,140.8,0.42,,,,,
08-06-72,18:53:41,39,6.6,CHILE,CENTRAL CHILE,-30.5,-71.8,,,,,,
30-07-72,21:45:14,25,7.6,USA,"SE. ALASKA, AK",56.82,-135.685,0.1,,,,,
17-08-72,23:44:05,10,7.1,PAPUA NEW GUINEA,SOLOMON SEA,-6,152.9,0.6,,,,,
06-09-72,11:42:23,15,5.2,JAPAN,JAPAN,32.9,130.3,,,,,,
02-12-72,0:19:47,33,7.4,PHILIPPINES,"MINDANAO ISLAND, PHILIPPINES",6.5,126.6,0.5,,,,,
04-12-72,10:16:12,66,7.4,JAPAN,CHICHI JIMA,33.3,140.7,0.5,,,,,
29-12-72,4:51:01,60,5.4,CHILE,CENTRAL CHILE,-30.6,-71,,,,,,
30-01-73,21:01:12,43,7.5,MEXICO,S. MEXICO,18.48,-103,1.13,56,390,,,
28-02-73,6:37:49,27,7.2,RUSSIA,N. KURIL ISLANDS,50.5,156.6,1.5,,,,,
17-06-73,3:55:02,48,7.7,JAPAN,HOKKAIDO ISLAND,43.2,145.8,5.96,,27,5,2,
24-06-73,2:43:25,50,7.1,RUSSIA,S. KURIL ISLANDS,43.3,146.4,0.64,,1,,,
05-10-73,5:47:51,14,6.7,CHILE,CENTRAL CHILE,-32.5,-71.5,0.4,,,,,
17-03-73,8:30:51,33,7.5,PHILIPPINES,QUEZON,13.4,122.8,1.3,15,64,0.45,,
26-06-73,22:32:00,,6.6,RUSSIA,S. KURIL ISLANDS,43.2,146.6,0.21,,,,,
31-01-74,23:30:05,34,7,SOLOMON ISLANDS,SOLOMON ISLANDS,-7.5,155.9,1.5,,,,,
