Date,Time,SameDayAs,Focal_Depth,Primary_Magnitude,Country,Location_Name,Latitude,Longitude,Maximun_Water_Height,Total_Deaths,Total_Injuries,Total_Damage_Million_Dollars,Total_Houses_Destroyed,Total_Houses_Damaged
29/11/1978,19:52:47,Not linked,18,7.8,MEXICO,MEXICO,16.01,-96.591,1.5,9,,,,
22/03/1978,21:34:33,Not linked,33,6.6,RUSSIA,S. KURIL ISLANDS,44.14,149.029,0.05,,,,,
21/06/1978,00:00:00,Not linked,,,ITALY,"EASTERN ITALY, ADRIATIC SEA",42,16,0.6,,,,,
14/08/1978,14:17:50,Not linked,30,4.4,SPAIN,CADIZ,36.37,-6.98,0.12,,,,,
12/06/1978,00:00:00,Not linked,,,INDIA,INDIA,,,,,,,,
10/10/1978,00:00:00,Not linked,,,NEW ZEALAND,OFF EAST COAST OF SOUTH ISLAND,-43.08,172.97,,,,,,
20/02/1979,06:32:32,Not linked,10,6.4,JAPAN,"IWATE, JAPAN",40.232,143.703,0.12,,,,,
28/02/1979,21:27:08,Not linked,15,7.5,USA,"SE. ALASKA, AK",60.691,-141.671,0.15,,,,,
14/03/1979,11:07:16,Not linked,49,7.6,MEXICO,S. MEXICO,17.813,-101.276,1.3,5,35,30,200,
15/04/1979,06:19:44,Not linked,10,6.9,MONTENEGRO,MONTENEGRO,42.096,19.209,0.6,131,1001,2700,,
18/07/1979,00:00:00,Not linked,,,INDONESIA,LOMBLEN ISLAND [LEMBATA],-8.6,123.5,9,1239,32,,,
09/08/1979,00:00:00,Not linked,,,INDONESIA,LOMBLEN ISLAND [LEMBATA],-8.5,123.5,,,,,,
12/09/1979,05:17:51,Not linked,5,7.9,INDONESIA,IRIAN JAYA,-1.679,136.04,2,115,,,1000,
16/10/1979,13:57:00,Not linked,,,FRANCE,FRENCH RIVIERA (LIGURIAN SEA),43.7,7.25,10,9,,,,
16/11/1979,15:21:25,Not linked,33,6.9,FIJI,FIJI ISLANDS,-16.76,179.984,,,,,,
12/12/1979,07:59:03,Not linked,24,7.7,COLOMBIA,"COLOMBIA: OFF SHORE, PACIFIC OCEAN",1.598,-79.358,6,600,20000,8,10000,
03/09/1979,02:12:00,Not linked,0,5,VENEZUELA,PUERTO CUMAREBO,11.517,-69.5,,,,,,
09/04/1979,02:10:20,Not linked,10,5.3,MONTENEGRO,MONTENEGRO: BAR ULCINJ,41.956,19.023,,,,,,
15/05/1979,06:59:21,Not linked,33,5.6,GREECE,CRETE,34.53,24.437,,,,,,
06/10/1979,00:00:00,Not linked,,,NORWAY,NORTHERN NORWAY,65.117,12.333,2,,,,,
23/02/1980,05:51:03,Not linked,44,7,RUSSIA,S. KURIL ISLANDS,43.53,146.753,0.16,,,,,
29/06/1980,07:20:05,Not linked,15,6.2,JAPAN,HONSHU ISLAND,34.808,139.181,0.56,,7,,,
17/07/1980,19:42:23,Not linked,33,7.9,SOLOMON ISLANDS,SOLOMON ISLANDS,-12.525,165.916,0.14,,,,,
18/05/1980,00:00:00,Not linked,,,USA,WASHINGTON,46.2,-122.18,250,61,,,,
01/01/1980,16:42:40,Not linked,10,7.2,PORTUGAL,AZORES,38.815,-27.78,,69,600,5,,
18/01/1981,18:17:24,Not linked,,6.9,JAPAN,E. HONSHU ISLAND,38.64,142.75,0.37,,,,,
24/02/1981,20:53:38,Not linked,33,6.7,GREECE,ATHENS-EASTERN GULF OF CORINTH,38.222,22.934,0.3,22,400,812,8000,
11/05/1981,07:10:00,Not linked,,,SOUTH AFRICA,AGULHAS BANK,-35.616,20.267,0.29,,,,,
25/05/1981,05:25:14,Not linked,33,7.6,NEW ZEALAND,NEW ZEALAND,-48.786,164.357,0.3,,,,,
01/09/1981,09:29:31,Not linked,25,7.7,SAMOA,SAMOA ISLANDS,-14.96,-173.085,1,,,,,
25/10/1981,03:22:15,Not linked,28,7.3,MEXICO,MEXICO,18.084,-102.084,0.09,9,,,,
04/03/1981,21:58:05,Not linked,29,6.4,GREECE,GULF OF CORINTH,38.209,23.288,1,,,,,
24/02/1982,04:22:40,Not linked,52,5.4,INDONESIA,JAVA TRENCH,4.374,97.755,0.1,,,,,
21/03/1982,02:32:07,Not linked,44,6.9,JAPAN,HOKKAIDO ISLAND,42.158,142.361,1.3,,,,,
23/07/1982,14:23:53,Not linked,37,7.2,JAPAN,"IBARAKI, JAPAN",36.194,141.702,0.4,,,,,
19/12/1982,17:43:54,Not linked,33,7.5,TONGA,KERMADEC ISLANDS,-24.133,-175.864,0.2,,,,,
28/12/1982,06:37:42,Not linked,22,6.4,JAPAN,S. OF HONSHU ISLAND,33.826,139.434,0.19,,,,,
11/03/1982,10:32:27,Not linked,33,6.6,INDONESIA,SUMBAWA ISLAND,-9.265,118.479,0.1,,,,,
11/01/1982,06:10:06,Not linked,46,7.1,PHILIPPINES,PHILIPPINES,13.752,124.358,0.1,,,,,
25/12/1982,12:28:02,Not linked,33,6,INDONESIA,FLORES SEA,-8.405,123.08,,13,390,1.45,1875,
12/03/1983,01:36:35,Not linked,17,6.9,INDONESIA,BANDA SEA,-4.056,127.924,3,,,,,
18/03/1983,09:05:50,Not linked,89,7.9,PAPUA NEW GUINEA,NEW BRITAIN,-4.883,153.581,0.3,,,,,
26/05/1983,02:59:59,Not linked,24,7.8,JAPAN,"NOSHIRO, JAPAN",40.462,139.102,14.93,104,324,800,3513,
09/06/1983,12:49:03,Not linked,26,5.9,JAPAN,"NOSHIRO, JAPAN",40.249,138.948,0.6,,,,,
21/06/1983,06:25:27,Not linked,10,6.9,JAPAN,N. HONSHU ISLAND,41.346,139.099,1,,,,,
06/08/1983,15:43:51,Not linked,2,7,GREECE,NORTH AEGEAN SEA,40.142,24.766,,,,,,
17/08/1983,10:55:54,Not linked,63,7.1,RUSSIA,"KAMCHATKA BAY, RUSSIA",55.867,161.287,0.1,,,,,
17/08/1983,12:17:56,Not linked,29,6.6,PHILIPPINES,LUZON ISLAND,18.231,120.86,0.1,16,47,,,
04/10/1983,18:52:13,Not linked,15,7.7,CHILE,NORTHERN CHILE,-26.535,-70.563,0.2,5,12,1,40,
30/11/1983,17:46:00,Not linked,10,7.7,UK TERRITORY,CHAGOS ARCHIPELAGO REGION,-6.852,72.11,1.5,,,,,
17/01/1983,12:41:29,Not linked,,7.2,GREECE,IONIAN SEA,38.026,20.228,,,,,,
18/08/1983,09:00:00,Not linked,,,NORWAY,WESTERN NORWAY,61.233,7.717,7,,,,,
17/08/1983,00:00:00,Not linked,,,INDONESIA,LESSER SUNDA ISLANDS,-8.54,123.59,,,,,,
08/01/1984,15:24:13,Not linked,33,6.8,INDONESIA,SULAWESI,-2.823,118.806,0.1,2,23,,,
11/02/1984,08:02:51,Not linked,29,5.4,GREECE,"CORINTHOS GULF, GREECE",38.396,22.094,,,,,,
24/03/1984,09:44:02,Not linked,44,7.2,RUSSIA,S. KURIL ISLANDS,44.117,148.192,0.2,,,,,
13/06/1984,02:29:25,Not linked,41,5.5,JAPAN,"TORI SHIMA, OKINAWA",31.448,140.036,0.5,,,,,
06/08/1984,19:06:38,Not linked,46,7,JAPAN,"KYUSHU, JAPAN",32.386,131.945,0.2,,9,,,
18/09/1984,17:02:44,Not linked,48,6.9,JAPAN,HONSHU ISLAND,34.006,141.5,0.13,,,,,
28/12/1984,10:37:53,Not linked,33,6.8,RUSSIA,KAMCHATKA,56.194,163.46,0.2,,,,,
03/03/1985,22:47:09,Not linked,33,8,CHILE,CENTRAL CHILE,-33.132,-71.708,3.5,180,2575,1500,,
16/03/1985,14:54:00,Not linked,13,6.4,GUADELOUPE (FRENCH TERRITORY),GUADELOUPE,17.013,-62.448,0.12,,6,,,
13/04/1985,01:06:00,Not linked,99,6.2,INDONESIA,BALI ISLAND,-9.245,114.185,2,,,,,
03/07/1985,04:36:51,Not linked,46,7.3,PAPUA NEW GUINEA,NEW IRELAND,-4.439,152.828,1.3,,,1,,
21/09/1985,01:37:13,Not linked,31,7.6,MEXICO,MEXICO,17.802,-101.647,1.2,,,,,
07/05/1986,22:47:10,Not linked,31,8,USA,"ANDREANOF ISLANDS, AK",51.52,-174.776,0.9,,,,,
17/05/1986,16:20:22,Not linked,15,6.4,USA,"ANDREANOF ISLANDS, AK",52.327,-174.504,,,,,,
20/10/1986,06:46:09,Not linked,29,7.8,NEW ZEALAND,KERMADEC ISLANDS,-28.117,-176.367,0.22,,,,,
14/11/1986,21:20:10,Not linked,34,7.8,TAIWAN,TAIWAN,23.901,121.574,0.3,15,44,,,
06/02/1987,13:16:17,Not linked,48,6.7,JAPAN,E. HONSHU ISLAND,36.988,141.689,0.1,,,,,
08/02/1987,18:33:58,Not linked,55,7.4,PAPUA NEW GUINEA,SOLOMON SEA,-6.088,147.689,1.5,3,,2.625,,
05/03/1987,09:17:05,Not linked,62,7.6,CHILE,NORTHERN CHILE,-24.388,-70.161,0.2,1,,,,
18/03/1987,03:36:30,Not linked,54,6.7,JAPAN,KYUSHU ISLAND,32.034,131.837,0.04,2,5,,,
24/03/1987,12:49:47,Not linked,23,5.1,JAPAN,HONSHU ISLAND,37.447,137.865,0.16,,,,,
