Date,Time,SameDayAs,Focal_Depth,Primary_Magnitude,Country,Location_Name,Latitude,Longitude,Maximun_Water_Height,Total_Deaths,Total_Injuries,Total_Damage_Million_Dollars,Total_Houses_Destroyed,Total_Houses_Damaged
13/04/2010,00:00:00,Not linked,,,PERU,"513 LAKE, HUALCAN GLACIER",-9.282,-77.645,23,1,,,50,
06/04/2010,22:15:01,Not linked,31,7.8,INDONESIA,SUMATRA,2.383,97.048,0.44,,,,,
26/02/2010,20:31:26,Not linked,25,7,JAPAN,RYUKYU ISLANDS,25.93,128.425,0.1,,,,,
29/05/2010,11:46:50,Not linked,,,USA TERRITORY,"SOUTH OF SARIGAN IS, N. MARIANA IS",16.708,145.97,0.04,,,,,
12/06/2010,19:26:50,Not linked,35,7.5,INDIA,LITTLE NICOBAR ISLAND,7.881,91.936,0.03,,,,,
10/08/2010,05:23:44,Not linked,25,7.2,VANUATU,VANUATU ISLANDS,-17.541,168.069,0.23,,,,,
25/10/2010,14:42:22,Not linked,20,7.8,INDONESIA,SUMATRA,-3.487,100.082,16.9,431,,39,700,
13/08/2010,21:19:33,Not linked,10,6.9,USA TERRITORY,"GUAM, MARIANA ISLANDS",12.484,141.476,0.07,,,,,
21/12/2010,17:19:40,Not linked,14,7.4,JAPAN,BONIN ISLANDS,26.901,143.698,0.13,,,,,
25/12/2010,13:16:37,Not linked,16,7.3,VANUATU,VANUATU ISLANDS,-19.702,167.947,4.1,,4,,,
13/04/2010,00:00:00,Not linked,,,COOK ISLANDS,"MANGAIA ISLAND, COOK ISLANDS",-21.955,-157.92,,,,,,
11/02/2011,20:05:30,Not linked,28,6.8,CHILE,CENTRAL CHILE,-36.474,-73.125,0.15,,,,,
21/02/2011,23:51:42,Not linked,6,6.1,NEW ZEALAND,SOUTH ISLAND,-43.583,172.68,3.5,,,,,
09/03/2011,02:45:20,Not linked,32,7.5,JAPAN,HONSHU ISLAND,38.435,142.842,0.6,,,,,
11/03/2011,05:46:24,Not linked,30,9.1,JAPAN,HONSHU ISLAND,38.297,142.372,38.9,18454,6152,220085.456,127511,273796
09/01/2011,10:03:44,Not linked,24,6.5,VANUATU,VANUATU ISLANDS,-19.157,168.311,0.03,,,,,
07/04/2011,14:32:43,Not linked,42,7.1,JAPAN,E. COAST HONSHU ISLAND,38.276,141.588,0.08,3,132,,,
06/07/2011,19:03:18,Not linked,17,7.6,NEW ZEALAND,KERMADEC ISLANDS,-29.539,-176.34,1.2,,,,,
10/07/2011,00:57:10,Not linked,23,7,JAPAN,OFF EAST COAST OF HONSHU ISLAND,38.034,143.264,0.09,,,,,
24/06/2011,03:09:39,Not linked,52,7.3,USA,"ATKA, ALEUTIAN ISLANDS, AK",52.05,-171.836,0.1,,,,,
27/06/2011,00:00:00,Not linked,,,UK,"PLYMOUTH, ENGLAND",50.5,-3,0.4,,,,,
06/08/2011,12:55:00,Not linked,,,NORWAY,"LYSEFJOREN, WESTERN NORWAY",59.05,6.64,,,,,,
30/07/2011,05:30:00,Not linked,,,NORWAY,"LYSEFJOREN, WESTERN NORWAY",59.05,6.64,,,,,,
20/08/2011,18:19:23,Not linked,28,7,VANUATU,VANUATU ISLANDS,-18.311,168.218,0.18,,,,,
20/08/2011,16:55:02,Not linked,32,7.1,VANUATU,VANUATU ISLANDS,-18.365,168.143,0.18,,,,,
02/09/2011,10:55:53,Not linked,32,6.8,USA,"FOX ISLANDS, ALEUTIAN ISLANDS, AK",52.171,-171.708,0.06,,,,,
21/10/2011,17:57:16,Not linked,33,7.4,NEW ZEALAND,KERMADEC ISLANDS,-28.993,-176.238,0.14,,,,,
02/02/2012,13:34:40,Not linked,23,7,VANUATU,VANUATU ISLANDS,-17.827,167.133,0.08,,,,,
14/03/2012,09:08:35,Not linked,12,6.9,JAPAN,HOKKAIDO ISLAND,40.887,144.944,0.2,,,,,
20/03/2012,18:02:47,Not linked,20,7.4,MEXICO,S. MEXICO,16.493,-98.231,0.2,2,13,,800,
11/04/2012,08:38:36,Not linked,20,8.6,INDONESIA,OFF W. COAST OF N SUMATRA,2.327,93.063,,10,12,,,
11/04/2012,10:43:10,Not linked,25,8.2,INDONESIA,OFF W. COAST OF N SUMATRA,0.802,92.463,,,,,,
14/04/2012,22:05:26,Not linked,11,6.3,VANUATU,VANUATU ISLANDS,-18.972,168.741,,,,,,
15/07/2012,00:00:00,Not linked,,,GREENLAND,ILULISSAT ICEFJORD,69.2,-51.3,,,,,,
27/08/2012,04:37:19,Not linked,28,7.3,EL SALVADOR,EL SALVADOR-NICARAGUA,12.139,-88.59,6.3,,40,,,
31/08/2012,12:47:33,Not linked,28,7.6,PHILIPPINES,PHILIPPINE ISLANDS,10.811,126.638,0.15,1,1,0.3,,
05/09/2012,14:42:07,Not linked,35,7.6,COSTA RICA,COSTA RICA,10.085,-85.315,0.16,2,20,,,
28/10/2012,03:04:08,Not linked,14,7.7,CANADA,BRITISH COLUMBIA,52.788,-132.101,12.98,1,,,,
07/11/2012,16:35:46,Not linked,24,7.3,GUATEMALA,GUATEMALA,13.988,-91.895,0.35,48,155,,2769,7561
07/12/2012,08:18:23,Not linked,31,7.2,JAPAN,OFF EAST COAST OF HONSHU ISLAND,37.89,143.949,1,,11,,,
28/12/2012,00:00:00,Not linked,,,CHINA,"ZHAOJUN BRIDGE, HUBEI PROVINCE",31.256,110.733,,,,,,
05/01/2013,08:58:19,Not linked,10,7.5,USA,"SE. ALASKA, AK",55.393,-134.652,1.5,,,,,
06/02/2013,01:12:25,Not linked,24,7.9,SOLOMON ISLANDS,SANTA CRUZ ISLANDS,-10.766,165.114,11,10,15,2,588,478
08/02/2013,15:26:38,Not linked,21,7,SOLOMON ISLANDS,SANTA CRUZ ISLANDS,-10.928,166.018,0.09,,,,,
19/04/2013,03:05:52,Not linked,110,7.2,RUSSIA,S. KURIL ISLANDS,46.221,150.788,0.2,,,,,
13/06/2013,00:00:00,Not linked,,,USA,NORTHWEST ATLANTIC OCEAN,,,1.8,,2,,,
21/07/2013,05:09:31,Not linked,17,6.5,NEW ZEALAND,COOK STRAIT,-41.704,174.337,0.07,,5,,,35
24/09/2013,00:00:00,Not linked,47,,PAKISTAN,OFF COAST GWADAR,25.18,62.26,0.26,825,619,,32638,14118
16/08/2013,02:31:47,Not linked,10,6.5,NEW ZEALAND,WELLINGTON,-41.731,174.027,0.08,,,,,
25/10/2013,17:10:00,Not linked,10,7.1,JAPAN,E. COAST HONSHU ISLAND,37.2,144.6,0.4,,1,,,
17/11/2013,09:04:53,Not linked,10,7.7,ANTARCTICA,SCOTIA SEA,-60.274,-46.401,0.15,,,,,
16/03/2014,21:16:00,Not linked,21,6.7,CHILE,NORTHERN CHILE,-19.965,-70.814,0.26,,,,,
01/04/2014,23:46:26,Not linked,25,8.2,CHILE,NORTHERN CHILE,-19.61,-70.769,4.63,7,,100,,2600
03/04/2014,02:43:11,Not linked,22,7.7,CHILE,NORTHERN CHILE,-20.571,-70.493,0.74,,,,,
12/04/2014,20:14:03,Not linked,23,7.6,SOLOMON ISLANDS,SOLOMON ISLANDS,-11.27,162.148,0.03,,,,,
13/04/2014,12:36:23,Not linked,39,7.4,SOLOMON ISLANDS,SOLOMON ISLANDS,-11.463,162.051,0.16,,,,,
18/04/2014,14:28:32,Not linked,24,7.2,MEXICO,S. MEXICO,17.397,-100.972,0.43,,,,,127
19/04/2014,13:29:21,Not linked,43,7.5,PAPUA NEW GUINEA,SOLOMON SEA,-6.755,155.024,0.11,,,,,
23/06/2014,20:53:07,Not linked,109,7.9,USA,"ALEUTIAN ISLANDS, AK",51.849,178.735,0.17,,,,,
23/06/2014,19:20:34,Not linked,20,6.9,NEW ZEALAND,"S OF RAOUL ISLAND, KERMADEC ISLANDS",-29.977,-177.725,0.13,,,,,
11/07/2014,19:23:22,Not linked,20,6.5,JAPAN,SANRIKU,37.005,142.453,0.2,,,,,
25/07/2014,10:55:12,Not linked,10,6.1,USA,"PALMA BAY, AK",58.306,-136.96,0.08,,,,,
09/10/2014,02:14:44,Not linked,16,7,CHILE,EASTER ISLAND REGION,-32.108,-110.811,0.47,,,,,
15/11/2014,02:32:12,Not linked,45,7.1,INDONESIA,N. MOLUCCAS ISLANDS,1.893,126.522,0.09,,,,,
14/10/2014,03:51:46,Not linked,40,7.3,EL SALVADOR,GULF OF FONSECA,12.526,-88.123,0.02,1,,,5,41
23/06/2014,00:00:00,Not linked,,,SPAIN,MEDITERRANEAN AND BLACK SEAS,,,2.5,,15,,,
16/02/2015,23:06:27,Not linked,23,6.7,JAPAN,HONSHU,39.856,142.881,0.27,,,,,
29/03/2015,23:48:01,Not linked,41,7.5,PAPUA NEW GUINEA,BISMARCK SEA,-4.729,152.562,0.5,,,,,
19/02/2015,13:18:32,Not linked,10,6.4,VANUATU,VANUATU ISLANDS,-16.431,168.148,8,,,,,
05/05/2015,01:44:38,Not linked,55,7.5,PAPUA NEW GUINEA,NEW BRITAIN,-5.462,151.875,1,,,,,
02/05/2015,16:51:39,Not linked,10,5.7,JAPAN,S. OF HONSHU ISLAND,31.529,140.213,0.6,,,,,
18/07/2015,02:28:22,Not linked,11,7,SOLOMON ISLANDS,SANTA CRUZ ISLANDS,-10.401,165.141,0.09,,,,,
10/07/2015,04:12:54,Not linked,12,6.7,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.307,158.403,0.01,,,,,
16/09/2015,22:55:26,Not linked,22,8.3,CHILE,CENTRAL CHILE,-31.573,-71.674,13.6,15,14,600,2305,10044
27/07/2015,04:49:00,Not linked,23,6.9,USA,"FOX ISLANDS, ALEUTIAN ISLANDS, AK",52.214,-169.399,0.08,,,,,
11/11/2015,01:54:00,Not linked,33,6.9,CHILE,CENTRAL CHILE,-29.46,-72.12,0.55,,,,,
13/11/2015,20:51:03,Not linked,12,6.7,JAPAN,JAPAN,31.001,128.873,0.3,,,,,
17/11/2015,07:10:03,Not linked,11,6.5,GREECE,IONIAN SEA,38.67,20.6,0.15,2,4,,1,
18/10/2015,05:19:00,Not linked,,,USA,"ICY BAY, AK",60.08,-141.3,190,,,,,
01/07/2015,00:00:00,Not linked,,,SCOTLAND,NORTH SEA,,,0.18,,,,,
10/05/2015,00:00:00,Not linked,,,NORWAY,NORTHERN NORWAY,69.8,20.92,,,,,,
02/03/2016,12:49:11,Not linked,24,7.8,INDONESIA,SW. SUMATRA,-4.952,94.33,0.21,,,,,
16/04/2016,23:58:00,Not linked,17,7.8,ECUADOR,OFF COAST,0.35,-80.16,0.5,663,6274,3300,6998,29672
28/04/2016,19:33:07,Not linked,24,7,VANUATU,VANUATU ISLANDS,-16.043,167.379,0.02,,,,,
12/08/2016,01:26:28,Not linked,16,7.2,NEW CALEDONIA,LOYALTY ISLANDS,-22.477,173.117,0.19,,,,,
19/08/2016,07:33:11,Not linked,10,7.4,UK TERRITORY,SOUTHERN ATLANTIC OCEAN,-55.285,-31.877,0.1,,,,,
01/09/2016,16:37:57,Not linked,19,7.1,NEW ZEALAND,GISBORNE,-37.401,179.055,0.21,,,,,
13/11/2016,11:02:56,Not linked,,7.8,NEW ZEALAND,OFF EAST COAST OF SOUTH ISLAND,-42.757,173.077,6.9,2,,3900,1,
21/11/2016,20:59:49,Not linked,11,6.9,JAPAN,E. COAST HONSHU ISLAND,37.392,141.403,1.44,,,,,
24/11/2016,18:43:48,Not linked,10,7,NICARAGUA,NICARAGUA,11.96,-88.835,0.08,,,,,
08/12/2016,17:38:46,Not linked,41,7.8,SOLOMON ISLANDS,SOLOMON ISLANDS,-10.665,161.335,0.43,1,,,191,126
09/12/2016,19:10:07,Not linked,21,6.9,SOLOMON ISLANDS,SOLOMON ISLANDS,-10.73,161.107,0.05,,,,,
17/12/2016,10:51:12,Not linked,103,7.9,PAPUA NEW GUINEA,SOLOMON SEA,-4.509,153.45,0.08,,,,,
25/12/2016,14:22:27,Not linked,35,7.6,CHILE,SOUTHERN CHILE,-43.416,-73.88,0.44,,,,,
03/01/2017,21:05:00,Not linked,17,6.9,FIJI,FIJI ISLANDS,-19.326,176.053,0.01,,,,,
22/01/2017,04:30:56,Not linked,136,7.9,PAPUA NEW GUINEA,BOUGAINVILLE ISLAND,-6.214,155.122,0.04,,,,,
19/03/2017,04:30:00,Not linked,,,IRAN,PERSIAN GULF,27.835,51.94,3,2,22,10,80,
24/04/2017,21:38:26,Not linked,25,6.9,CHILE,CENTRAL CHILE,-33.073,-72.051,0.16,,,,,
28/04/2017,20:23:17,Not linked,26,6.9,PHILIPPINES,"SOCCSKSARGEN, PHILIPPINES",5.516,125.093,0.2,,2,,1,
01/05/2017,12:31:54,Not linked,2,6.2,USA,"SKAGWAY, AK",59.844,-136.695,0.06,,,,,
29/05/2017,03:45:00,Not linked,,,NETHERLANDS,NORTH SEA,,,2,,,,,
17/06/2017,23:39:17,Not linked,0,,GREENLAND,KARRAT FJORD,71.813,-52.569,90,4,9,,11,
12/06/2017,12:28:38,Not linked,10,6.3,GREECE,LESBOS,38.932,26.364,0.4,1,15,,10,250
17/07/2017,23:34:13,Not linked,11,7.7,RUSSIA,BERING ISLAND,54.472,168.815,0.1,,,,,
20/07/2017,22:31:12,Not linked,10,6.7,TURKEY,GULF OF G�KOVA,36.949,27.458,1.9,2,500,,,
19/07/2017,12:50:00,Not linked,,,COLOMBIA,OFF THE COAST NEAR SANTA MARTA,11,-74.3,8,,,,1,
08/09/2017,04:49:19,Not linked,47,8.2,MEXICO,S. MEXICO,15.022,-93.899,2.7,98,,2300,5000,53152
31/10/2017,00:42:06,Not linked,11,6.8,NEW CALEDONIA,LOYALTY ISLANDS,-21.66,169.203,0.13,,,,,
01/11/2017,02:23:56,Not linked,10,6.6,NEW CALEDONIA,LOYALTY ISLANDS,-21.63,168.884,0.1,,,,,
19/11/2017,22:43:29,Not linked,10,7,NEW CALEDONIA,LOYALTY ISLANDS,-21.334,168.683,0.37,,,,,
08/12/2017,00:00:00,Not linked,,,KERMADEC ISLANDS,KERMADEC ISLANDS,-30,-179,0.5,,,,,
10/01/2018,02:51:31,Not linked,10,7.5,HONDURAS,OFF COAST OF HONDURAS,17.474,-83.519,0.4,,,,,7
23/01/2018,09:31:42,Not linked,25,7.9,USA,"KODIAK ISLAND, AK",56.046,-149.073,0.25,,,,,
14/01/2018,09:18:45,Not linked,36,7.1,PERU,S. PERU,-15.776,-74.744,0.15,,,,,
09/02/2018,00:00:00,Not linked,,,PAPUA NEW GUINEA,"KADOVAR ISLAND, PAPUA NEW GUINEA",-3.608,144.588,1,,,,,
04/05/2018,22:32:55,Not linked,5,6.9,USA,HAWAII,19.37,-155.032,0.4,,1,,700,
15/05/2018,00:00:00,Not linked,,,USA,NORTHEAST U.S.A.,,,0.22,,,,,
16/07/2018,00:00:00,Not linked,,,SPAIN,BALEARIC ISLANDS,,,0.75,1,,,,
05/08/2018,11:46:37,Not linked,31,6.9,INDONESIA,BALI SEA,-8.287,116.452,0.14,560,7733,509,,83392
19/08/2018,00:19:37,Not linked,563,8.2,FIJI,FIJI ISLANDS,-18.178,-178.111,,,,,,
21/08/2018,21:31:46,Not linked,154,7.3,VENEZUELA,SUCRE,10.855,-62.883,,5,,,,
29/08/2018,03:51:56,Not linked,27,7.1,NEW CALEDONIA,LOYALTY ISLANDS,-22.066,170.05,0.27,,,,,
28/09/2018,10:02:43,Not linked,10,7.5,INDONESIA,SULAWESI,-0.178,119.84,11.3,2073,10679,,5864,68093
